Root 0: extrapolated energy is  -28920.41989330 Hartree, estimated error is 3.6208e-05 Hartree, 0.0009853 eV
Root 1: extrapolated energy is  -28920.41989944 Hartree, estimated error is 3.4819e-05 Hartree, 0.0009475 eV
Root 2: extrapolated energy is  -28920.40430343 Hartree, estimated error is 2.3717e-05 Hartree, 0.0006454 eV
Root 3: extrapolated energy is  -28920.40430666 Hartree, estimated error is 2.4338e-05 Hartree, 0.0006623 eV
Root 4: extrapolated energy is  -28920.38723765 Hartree, estimated error is 2.7643e-05 Hartree, 0.0007522 eV
Root 5: extrapolated energy is  -28920.38722708 Hartree, estimated error is 2.8121e-05 Hartree, 0.0007652 eV
Root 6: extrapolated energy is  -28920.37948777 Hartree, estimated error is 3.4928e-05 Hartree, 0.0009504 eV
Root 7: extrapolated energy is  -28920.37948769 Hartree, estimated error is 3.3037e-05 Hartree, 0.000899 eV
