Root 0: extrapolated energy is  -18984.96136446 Hartree, estimated error is -5.4754e-04 Hartree, -0.0149 eV
Root 1: extrapolated energy is  -18984.95314757 Hartree, estimated error is -3.2383e-04 Hartree, -0.008812 eV
Root 2: extrapolated energy is  -18984.91973331 Hartree, estimated error is -5.3903e-04 Hartree, -0.01467 eV
Root 3: extrapolated energy is  -18984.91652750 Hartree, estimated error is -5.2379e-04 Hartree, -0.01425 eV
Root 4: extrapolated energy is  -18984.88335108 Hartree, estimated error is -5.7044e-04 Hartree, -0.01552 eV
Root 5: extrapolated energy is  -18984.86411711 Hartree, estimated error is -5.3066e-04 Hartree, -0.01444 eV
