Root 0: extrapolated energy is  -18984.78244198 Hartree, estimated error is -1.1193e-04 Hartree, -0.003046 eV
Root 1: extrapolated energy is  -18984.78080917 Hartree, estimated error is -1.6313e-04 Hartree, -0.004439 eV
Root 2: extrapolated energy is  -18984.75539844 Hartree, estimated error is -2.3047e-04 Hartree, -0.006271 eV
Root 3: extrapolated energy is  -18984.75164301 Hartree, estimated error is -2.2528e-04 Hartree, -0.00613 eV
Root 4: extrapolated energy is  -18984.71585475 Hartree, estimated error is -2.4611e-04 Hartree, -0.006697 eV
Root 5: extrapolated energy is  -18984.69793293 Hartree, estimated error is -2.3367e-04 Hartree, -0.006358 eV
